Class Name,Scientific Name,Utilities,Remedies
Rasna,Alpinia Galanga,"Anti-inflammatory, digestive aid, pain relief","1. Anti-Inflammatory Remedy – Rasna Leaf Paste:  
   1. Grind fresh Rasna leaves into a fine paste.  
   2. Apply the paste directly to swollen or inflamed areas.  
   3. Leave it on for 20 minutes before rinsing with warm water. Repeat daily for relief.  

2. Digestive Aid Remedy – Rasna Leaf Tea:  
   1. Boil a handful of Rasna leaves in a cup of water for 10 minutes.  
   2. Strain and let it cool slightly before drinking.  
   3. Drink this tea after meals to improve digestion and relieve bloating.  

3. Pain Relief Remedy – Rasna Leaf Decoction:  
   1. Boil a handful of Rasna leaves in two cups of water until the liquid reduces to half.  
   2. Strain and drink the warm decoction twice a day.  
   3. This helps in relieving joint pain and body aches."
Arive-Dantu,Amaranthus Viridis,"Rich in iron treats anemia, improves digestion","1. Anemia Treatment Remedy – Arive-Dantu Leaf Juice:  
   1. Crush fresh Arive-Dantu leaves and extract the juice.  
   2. Mix one teaspoon of the juice with honey or warm water.  
   3. Consume daily to boost iron levels and help in the treatment of anemia.  

2. Digestion Improvement Remedy – Arive-Dantu Leaf Infusion:  
   1. Boil a handful of Arive-Dantu leaves in a cup of water for 5–10 minutes.  
   2. Strain and drink the warm infusion after meals.  
   3. This helps in reducing bloating, indigestion, and promoting gut health."
Jackfruit,ArtocarpusHeterophyllus,"Boosts immunity, aids digestion, regulates blood sugar","1. Immunity Boosting Remedy – Jackfruit Leaf Tea:  
   1. Boil a handful of fresh jackfruit leaves in a cup of water for 10 minutes.  
   2. Strain and let it cool slightly before drinking.  
   3. Consume this tea daily to strengthen immunity and prevent infections.  

2. Digestion Improvement Remedy – Jackfruit Leaf Infusion:  
   1. Soak fresh jackfruit leaves in warm water for 10–15 minutes.  
   2. Strain and drink the infusion after meals.  
   3. This helps in reducing bloating, indigestion, and improving gut health.  

3. Blood Sugar Regulation Remedy – Jackfruit Leaf Powder:  
   1. Dry jackfruit leaves in the shade and grind them into a fine powder.  
   2. Mix one teaspoon of the powder with warm water and drink in the morning on an empty stomach.  
   3. This helps in maintaining stable blood sugar levels."
Neem,Azadirachta,"Antibacterial, antifungal, used in skincare.","1. Antibacterial Remedy – Neem Leaf Oil:  
   1. Extract neem oil from fresh neem leaves or buy pure neem oil from a store.  
   2. Apply neem oil directly to the affected area, such as acne or wounds, to prevent bacterial infections.  
   3. Repeat daily for faster healing and protection from bacteria.  

2. Antifungal Remedy – Neem Leaf Bath:  
   1. Boil a generous amount of neem leaves in water for 10 minutes.  
   2. Strain the liquid and add it to your bath water.  
   3. Soak in this water for 15–20 minutes to treat fungal infections like athlete's foot or ringworm.  

3. Skincare Remedy – Neem Leaf Face Pack:  
   1. Grind fresh neem leaves into a paste and mix with yogurt or honey.  
   2. Apply this face pack to acne-prone areas and leave it on for 15–20 minutes before rinsing off.  
   3. Use this regularly to reduce acne and improve skin health."
Basale,Basella Alba,"Cooling effect, relieves ulcers, improves eye health","Leaf Name: Basale  
Utilities: Cooling effect, relieves ulcers, improves eye health  

1. Cooling Effect Remedy – Basale Leaf Juice:  
   1. Blend fresh Basale leaves with a glass of water.  
   2. Strain and add a teaspoon of honey for taste.  
   3. Drink this juice daily to refresh the body and maintain internal cooling.  

2. Ulcer Relief Remedy – Basale Leaf Paste:  
   1. Grind fresh Basale leaves into a fine paste.  
   2. Mix the paste with a small amount of honey or ghee.  
   3. Consume this mixture daily to soothe ulcers and promote healing.  

3. Eye Health Improvement Remedy – Basale Leaf Infusion:  
   1. Boil a handful of Basale leaves in a cup of water for 5–10 minutes.  
   2. Strain and let it cool.  
   3. Drink this infusion regularly to support eye health and reduce dryness."
Indian Mustard,Brassica Juncea,"Relieves joint pain, detoxifies the body, treats colds","1. Joint Pain Relief Remedy – Indian Mustard Leaf Paste:  
   1. Grind fresh Indian Mustard leaves into a smooth paste.  
   2. Apply the paste directly to the affected joints.  
   3. Leave it on for 20 minutes before rinsing with warm water. Repeat daily to reduce inflammation and pain.  

2. Body Detoxification Remedy – Indian Mustard Leaf Juice:  
   1. Blend fresh Indian Mustard leaves with a glass of water.  
   2. Strain and drink this juice on an empty stomach in the morning.  
   3. This helps flush out toxins and improve liver function.  

3. Cold Treatment Remedy – Indian Mustard Leaf Steam Inhalation:  
   1. Boil a handful of fresh Indian Mustard leaves in a pot of water.  
   2. Inhale the steam by covering your head with a towel over the pot.  
   3. Do this for 10 minutes to relieve nasal congestion and soothe cold symptoms."
Karanda,Carissa Carandus,"Treats anemia, digestion problems, skin disorders","1. Anemia Treatment Remedy – Karanda Leaf Juice:  
   1. Crush fresh Karanda leaves and extract the juice.  
   2. Mix one teaspoon of the juice with honey or warm water.  
   3. Consume daily to boost iron levels and help in the treatment of anemia.  

2. Digestion Improvement Remedy – Karanda Leaf Infusion:  
   1. Boil a handful of Karanda leaves in a cup of water for 5–10 minutes.  
   2. Strain and drink the warm infusion after meals.  
   3. This helps in reducing bloating, indigestion, and improving gut health.  

3. Skin Disorder Treatment Remedy – Karanda Leaf Paste:  
   1. Grind fresh Karanda leaves into a smooth paste.  
   2. Apply the paste to affected skin areas with rashes, eczema, or irritation.  
   3. Leave it on for 15–20 minutes before rinsing off. Repeat regularly to soothe skin disorders."
Lemon,Citrus Limon,"Boosts immunity, aids digestion, detoxifies the liver","1. Immunity Boosting Remedy – Lemon Leaf Tea:  
   1. Boil a handful of fresh lemon leaves in a cup of water for 5–10 minutes.  
   2. Strain the tea and add a teaspoon of honey for taste.  
   3. Drink this tea daily to strengthen the immune system and prevent infections.  

2. Digestion Improvement Remedy – Lemon Leaf Infusion:  
   1. Soak fresh lemon leaves in warm water for 10–15 minutes.  
   2. Strain and drink the infusion after meals.  
   3. This helps in reducing bloating, acidity, and promoting better digestion.  

3. Liver Detoxification Remedy – Lemon Leaf Juice:  
   1. Crush fresh lemon leaves and extract the juice.  
   2. Mix one teaspoon of lemon leaf juice with warm water and drink in the morning on an empty stomach.  
   3. This helps cleanse the liver and remove toxins from the body."
Roxburgh fig,Ficus Auriculata,"Treats diabetes, improves digestion, reduces inflammation","1. Diabetes Treatment Remedy:- Roxburgh Fig Leaf Tea: 
1. Boil a handful of fresh Roxburgh fig leaves in a cup of water for 5–10 minutes. 
2. Strain and let it cool slightly before drinking. 
3. Consume this tea daily to help regulate blood sugar levels.  

2. Digestion Improvement Remedy:- Roxburgh Fig Leaf Infusion: 
1. Crush a few Roxburgh fig leaves and soak them in warm water for 15 minutes. 
2. Strain the water and drink it before meals to enhance digestion. 
3. This helps in relieving bloating, constipation, and stomach discomfort.  

3. Inflammation Reduction Remedy:- Roxburgh Fig Leaf Paste: 
1. Grind fresh Roxburgh fig leaves into a fine paste. 
2. Apply the paste to inflamed areas or swollen joints. 
3. Leave it on for 15–20 minutes before rinsing off. Repeat daily for relief from inflammation."
peepal Tree,Ficus Religiosa,"Treats asthma, diabetes, skin diseases. ","1. Asthma Treatment Remedy:- Peepal Leaf Decoction: 
    1. Boil a handful of fresh Peepal leaves in a cup of water for 10 minutes. 
    2. Strain and add a teaspoon of honey for better taste. 
   3. Drink this decoction twice daily to ease breathing difficulties and reduce asthma symptoms. 	

2. Diabetes Treatment Remedy:- Peepal Leaf Juice: 
    1. Crush fresh Peepal leaves and extract their juice. 
    2. Mix one tablespoon of this juice with water and consume it on an empty stomach. 
   3. Drink this daily to help regulate blood sugar levels. 	

3. Skin Disease Remedy:- Peepal Leaf Paste: 
    1. Grind fresh Peepal leaves into a fine paste. 
    2. Apply the paste to affected skin areas such as rashes, infections, or eczema. 
   3. Leave it on for 15–20 minutes before rinsing off with lukewarm water. Repeat daily for healthy skin.  "
